Cell	GSM3362199	GSM3362200	GSM3362201	GSM3362203	GSM3362204	GSM3362205	GSM3362206	GSM3362207	GSM3362208	GSM3362209	GSM3362210	GSM3362211	GSM3362212	GSM3362213	GSM3362214	GSM3362215	GSM3362216	GSM3362217	GSM3362218	GSM3362219	GSM3362220	GSM3362221	GSM3362222	GSM3362223	GSM3362224	GSM3362225	GSM3362226	GSM3362227	GSM3362228	GSM3362230	GSM3362231	GSM3362232	GSM3362233	GSM3362234	GSM3362235	GSM3362236	GSM3362237	GSM3362238	GSM3362239	GSM3362240	GSM3362241	GSM3362242	GSM3362243	GSM3362244	GSM3362245	GSM3362247	GSM3362248	GSM3362249	GSM3362250	GSM3362251	GSM3362252	GSM3362253	GSM3362254	GSM3362256	GSM3362257	GSM3362258	GSM3362259	GSM3362260	GSM3362261	GSM3362262	GSM3362263	GSM3362264	GSM3362265	GSM3362266	GSM3362267	GSM3362268	GSM3362269	GSM3362270	GSM3362271	GSM3362272	GSM3362273	GSM3362274	GSM3362275	GSM3362276	GSM3362277	GSM3362278	GSM3362279	GSM3362280	GSM3362281	GSM3362283	GSM3362284	GSM3362285	GSM3362286	GSM3362287	GSM3362288	GSM3362289	GSM3362290	GSM3362291	GSM3362292	GSM3362293	GSM3362294	GSM3362295
CellType	Pthlh (<P25)	Pthlh (<P25)	Th (<P25)	Th (>P25)	Pthlh (>P25)	Pthlh (>P25)	No (<P25)	Npy/Mia (<P25)	Pthlh (<P25)	No (<P25)	Pthlh (<P25)	No (<P25)	Pthlh (<P25)	Npy/Mia (<P25)	No (<P25)	No (<P25)	No (<P25)	Npy/Mia (<P25)	Pthlh (<P25)	Pthlh (<P25)	No (<P25)	No (<P25)	Pthlh (<P25)	Th (<P25)	Pthlh (<P25)	Pthlh (<P25)	No (<P25)	Pthlh (<P25)	No (<P25)	Npy/Mia (<P25)	Th (<P25)	Th (<P25)	No (<P25)	No (<P25)	Pthlh (<P25)	Pthlh (>P25)	Pthlh (>P25)	Pthlh (>P25)	Pthlh (>P25)	Pthlh (<P25)	Pthlh (<P25)	Pthlh (<P25)	Pthlh (<P25)	Npy/Mia (<P25)	No (<P25)	Th (<P25)	Th (<P25)	Th (>P25)	Pthlh (>P25)	Pthlh (>P25)	Pthlh (>P25)	Th (>P25)	No (>P25)	No (>P25)	Pthlh (>P25)	Pthlh (>P25)	Th (>P25)	Pthlh (>P25)	Pthlh (<P25)	No (<P25)	Pthlh (<P25)	No (<P25)	Pthlh (<P25)	No (>P25)	Pthlh (>P25)	No (>P25)	Th (<P25)	No (>P25)	Pthlh (<P25)	Th (<P25)	No (>P25)	Pthlh (<P25)	No (<P25)	No (<P25)	No (<P25)	No (>P25)	Pthlh (>P25)	Th (<P25)	Th (<P25)	Th (<P25)	Pthlh (<P25)	No (<P25)	No (<P25)	Pthlh (>P25)	Pthlh (<P25)	Pthlh (<P25)	Pthlh (>P25)	Pthlh (>P25)	Pthlh (<P25)	No (<P25)	Th (>P25)	Th (>P25)
Gene																																																																																												
Cygb	0.0	6.365146594695156	0.0	0.0	0.0	7.3943083415646225	6.159025649490378	0.0	6.832434354307012	3.555128993800309	6.366914908990035	3.4623926604189013	0.0	0.0	6.490881354478994	0.0	5.545832492454752	2.3882363860911004	7.6765424578556996	6.379232790497384	5.441008655984991	0.0	5.333581162094333	7.302474426614227	3.7413914788903817	6.846242565109514	0.0	0.0	4.946478226049753	2.164757320994197	7.246170532283656	6.725632105138324	4.734590406696199	3.1495682955159268	0.0	0.0	6.928394012398218	3.737264922332967	2.241824933007946	0.0	7.269734493898627	0.0	6.477711322447392	0.0	0.0	6.23010307898283	6.099760175498048	6.5152251687223	0.0	0.0	0.0	3.237199633555546	0.0	0.0	8.455027141412128	0.0	0.0	6.43704292838999	0.0	0.0	0.0	0.0	0.0	0.0	6.7420735997562495	0.0	8.072036108564053	0.0	1.8326389127558866	6.894150817344279	0.0	0.0	6.297255624606038	0.0	8.517094557461519	0.0	5.680552221645168	0.0	0.0	5.1285408686408696	0.0	0.0	6.782631347649854	0.0	5.886216015969571	4.905817793520599	4.87853408098977	0.0	6.070161741973682	0.0	4.971161850270151	0.0
Gh	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.761732056619386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.898906671391014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.04973966269698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.752828857815223	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hba-a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.796950701885969	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.683191141878241	6.325465570735668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.99870888664495	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.457830650709168	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.1320421074497915	0.0	0.0	2.0520993569001926	0.0	8.05628546487374	0.0
Hba-a2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.796950701885969	0.0	10.582753562237338	0.0	0.0	0.0	0.0	9.592083233653891	0.0	0.0	0.0	0.0	0.0	6.714822480297643	3.5907816415696567	0.0	0.0	8.658729188814874	7.823742992466532	14.613800972842768	7.1242143859262415	8.912527120431372	9.735012689813328	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.99870888664495	0.0	0.0	0.0	0.0	9.754368105255155	9.554890021199492	0.0	0.0	0.0	0.0	2.315971913141885	9.800760799298175	7.623208441058219	0.0	7.057201136665271	0.0	9.671282756064171	10.498191019976739	0.0	0.0	8.69244812192623	7.177778298362659	10.862079386929462	0.0	10.93990238881686	7.066422909665379	4.1320421074497915	0.0	6.542606297844029	2.0520993569001926	10.888499735514124	8.05628546487374	0.0
Hbb-bs	8.134559801843093	0.0	9.580132290820401	0.0	0.0	9.186770423658434	7.681287613692935	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0597770692585335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.018400500571234	4.809913435745432	0.0	9.489930225822125	0.0	7.820695941892593	12.708437298965297	5.9890981243728225	9.94817154914895	9.351339015572607	0.0	0.0	0.0	0.0	0.0	0.0	3.2717647950715856	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.221433056407584	7.476227752997483	0.0	4.363598634736499	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.849426369791041	8.185242167173243	0.0	0.0	0.0	0.0	7.371985683870407	7.946877040218139	0.0	0.0	0.0	0.0	8.557467530909374	0.0	0.0	0.0	7.797149197105834	6.35975131702755	0.0	0.0	8.05533124766553	0.0	0.0	0.0	0.0	0.0	0.0	5.275316269752269	0.0
Hbb-bt	0.0	0.0	0.0	0.0	7.933330673858679	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hp	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.492372373080187	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ngb	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.008911941988526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.18131975385302	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
