Cell	CellType	UMAP X-coordinate	UMAP Y-coordinate
O24	hBIC	-1.8333976	-0.3626164
O31	vBIC	-0.9337616	-0.6699116
O32	vBIC	0.26863292	-1.0838324
O36	vBC	-0.92063516	-2.875328
O39	vBC	-2.6891007	-1.4452492
O41	vAAC	-3.1641512	-0.40257373
O44	vBIC	-0.7162685	-0.94397235
O46	vBC	-1.5357544	-0.58820134
O47	vBC	-0.27636996	-2.118103
O48	vBC	-2.576323	-1.3510729
O49	vBC	-0.24537387	-3.26257
O52	vBC	-1.352889	-1.0989041
O54	hBC	-3.3463068	-0.33220455
O55	vBC	-3.2584372	-0.20263681
O56	vBIC	-0.08647447	-1.0730062
O58	hBC	-1.5635701	-2.925547
O60	vBC	-1.3804638	-3.1622047
O61	hBIC	-1.2637216	-0.8933663
O62	vBC	0.026334757	-2.4292862
O65	hBC	-2.4273636	-0.3770068
O66	hBIC	-1.0605744	-0.91415036
O71	hBIC	-2.1809216	-0.32553422
O73	vBC	-0.04654092	-2.648211
O76	vBIC	-0.34440276	-3.3415785
O78	hBIC	0.2702002	-1.0471058
O80	vBC	-0.6104568	-2.3564904
O87	vBIC	-0.13830872	-2.4381702
O89	vAAC	-0.6987751	-2.6298208
O90	vBC	-1.6370893	-1.6696702
O100	vBC	-2.7143767	-1.1143591
O102	hBC	-0.30922952	-1.7351758
O103	vBC	-0.5963064	-2.3966174
O104	hBIC	0.151106	-0.8797772
O106	hBC	-1.595114	-0.5849
O109	vBC	-1.9858422	-0.6699884
O111	vBC	-1.9506541	-0.7127753
O113	vBC	-0.7988596	-3.1668928
O117	vBC	-3.0772245	-0.2627592
O125	hBIC	0.33911607	-1.4392277
O127	vAAC	-1.7920808	-1.9477293
O128	vBC	-2.4656537	-1.2220359
O129	vBC	-2.3077135	-0.8221252
O130	vBC	-1.5116602	-2.2081282
O131	vBC	-3.185406	-0.35745803
O132	vAAC	-0.76610845	-3.091746
O134	vBIC	-1.2534792	-1.403917
O135	vBC	-1.7470453	-2.5657406
O137	vBC	-3.0353231	-0.6353316
O141	vBIC	0.31235594	-0.95990443
O145	vBC	-2.2934458	-1.0528178
O147	vAAC	-1.9415344	-2.342559
O149	vAAC	-2.0397823	-2.1017814
O151	hBIC	-0.37450826	-0.94469815
O159	hBIC	-3.3171456	-0.58878016
O160	vBC	-1.8505594	-0.85142446
O162	hBC	-1.2894398	-2.5244281
O164	vAAC	-1.6801558	-2.4926455
O165	vBIC	-1.412631	-1.4827815
O171	vBC	-2.628475	-0.38810685
O427	hBIC	0.30278468	-1.3183149
O430	vBC	-1.1664908	-1.9546574
O433	hBIC	-0.17146902	-3.206396
O434	hBC	-1.1435498	-2.5319152
O435	vBC	-1.4415447	-2.1908803
O439	hBC	-0.18676108	-2.8736637
O440	hBC	-2.12346	-0.80447817
O454	vBC	-0.09348182	-1.777855
Som5	SST-OLM	-17.72718	-4.808926
Som6	SST-OLM	-16.732042	-4.5350175
Som7	SST-OLM	-18.175114	-4.1589384
Som9	SST-OLM	-17.355442	-4.513274
Som11	SST-OLM	-16.80204	-4.432389
Som14	SST-OLM	-17.289444	-4.3418994
Som17	SST-OLM	-18.229664	-4.8145075
Som43	SST-OLM	-17.37673	-4.0599394
Som45	SST-OLM	-17.683966	-4.267171
Som47	SST-OLM	-16.911871	-4.285753
Som48	SST-OLM	-17.88846	-4.484466
Som105	SST-OLM	-17.973846	-4.5890546
Som109	SST-OLM	-18.191376	-4.4614024
Som115	SST-OLM	-17.105396	-4.062441
Som116	SST-OLM	-17.923426	-4.8902893
Som124	SST-OLM	-17.815807	-4.519088
Som126	SST-OLM	-18.23601	-4.865232
Som127	SST-OLM	-17.838589	-4.8572197
Som128	SST-OLM	-17.562859	-4.1851315
Som131	SST-OLM	-17.221777	-4.202921
Som134	SST-OLM	-18.270962	-4.6547127
Som137	SST-OLM	-16.9498	-4.561644
Som138	SST-OLM	-18.137518	-4.75798
