	EphysType	EphysType_2	EphysType_3	EphysType_4	EphysType_5
O100	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O102	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O103	Ephys1	Ephys1	Ephys3	Ephys1	Ephys3
O104	Ephys2	Ephys2	Ephys2	Ephys1	Ephys1
O106	Ephys2	Ephys2	Ephys2	Ephys1	Ephys1
O109	Ephys2	Ephys2	Ephys2	Ephys2	Ephys2
O111	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O113	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O117	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O125	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O127	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O128	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O129	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O130	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O131	Ephys2	Ephys2	Ephys2	Ephys2	Ephys2
O132	Ephys2	Ephys2	Ephys2	Ephys1	Ephys1
O134	Ephys1	Ephys1	Ephys3	Ephys3	Ephys1
O135	Ephys2	Ephys2	Ephys2	Ephys1	Ephys1
O137	Ephys2	Ephys2	Ephys2	Ephys1	Ephys1
O141	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O145	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O147	Ephys1	Ephys1	Ephys3	Ephys1	Ephys1
O149	Ephys1	Ephys1	Ephys3	Ephys1	Ephys1
O151	Ephys1	Ephys1	Ephys3	Ephys1	Ephys1
O159	Ephys2	Ephys2	Ephys2	Ephys2	Ephys2
O160	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O162	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O165	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O171	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O24	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O31	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O32	Ephys1	Ephys1	Ephys2	Ephys2	Ephys2
O36	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O39	Ephys2	Ephys2	Ephys2	Ephys1	Ephys1
O41	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O427	Ephys1	Ephys1	Ephys1	Ephys4	Ephys4
O430	Ephys1	Ephys1	Ephys1	Ephys4	Ephys4
O433	Ephys1	Ephys1	Ephys3	Ephys3	Ephys1
O434	Ephys1	Ephys1	Ephys1	Ephys4	Ephys4
O435	Ephys1	Ephys1	Ephys3	Ephys1	Ephys1
O439	Ephys1	Ephys1	Ephys1	Ephys4	Ephys4
O44	Ephys2	Ephys2	Ephys2	Ephys2	Ephys2
O440	Ephys1	Ephys1	Ephys1	Ephys3	Ephys3
O454	Ephys1	Ephys1	Ephys3	Ephys3	Ephys2
O46	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O47	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O48	Ephys2	Ephys2	Ephys2	Ephys2	Ephys2
O49	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O52	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O54	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O55	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O56	Ephys1	Ephys1	Ephys3	Ephys2	Ephys2
O58	Ephys2	Ephys2	Ephys2	Ephys2	Ephys2
O60	Ephys2	Ephys2	Ephys3	Ephys2	Ephys2
O61	Ephys2	Ephys2	Ephys2	Ephys2	Ephys2
O62	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O65	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O66	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O71	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O73	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O76	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O78	Ephys1	Ephys1	Ephys3	Ephys3	Ephys3
O80	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O87	Ephys1	Ephys1	Ephys2	Ephys3	Ephys3
O89	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
O90	Ephys2	Ephys2	Ephys2	Ephys1	Ephys5
