Cell	CellType	Age
H2	Htr3a-OLM	-1
H4	non-OLM	-1
H6	Htr3a-OLM	-1
H9	Htr3a-OLM	-1
H11	Htr3a-OLM	-1
H12	Htr3a-OLM	-1
H15	non-OLM	-1
H16	Htr3a-OLM	-1
H19	non-OLM	-1
H20	Htr3a-OLM	-1
H22	Htr3a-OLM	-1
H23	non-OLM	-1
H24	non-OLM	-1
H26	Htr3a-OLM	-1
H30	Htr3a-OLM	-1
H31	Htr3a-OLM	-1
H32	Htr3a-OLM	-1
H33	Htr3a-OLM	-1
H35	Htr3a-OLM	-1
H36	non-OLM	-1
H38	Htr3a-OLM	-1
H39	Htr3a-OLM	-1
H42	Htr3a-OLM	-1
H46	Htr3a-OLM	-1
H48	Htr3a-OLM	-1
H52	Htr3a-OLM	-1
H53	Htr3a-OLM	-1
H57	Htr3a-OLM	-1
H60	Htr3a-OLM	-1
Som5	SST-OLM	30
Som6	SST-OLM	30
Som7	SST-OLM	30
Som9	SST-OLM	33
Som10	non-OLM	-1
Som11	SST-OLM	33
Som12	non-OLM	-1
Som14	SST-OLM	33
Som15	non-OLM	-1
Som17	SST-OLM	33
Som18	non-OLM	-1
Som20	non-OLM	-1
Som36	non-OLM	-1
Som37	non-OLM	-1
Som43	SST-OLM	36
Som45	SST-OLM	36
Som46	non-OLM	-1
Som47	SST-OLM	36
Som48	SST-OLM	36
Som50	non-OLM	-1
Som51	non-OLM	-1
Som52	non-OLM	-1
Som53	non-OLM	-1
Som58	non-OLM	-1
Som59	non-OLM	-1
Som60	non-OLM	-1
Som61	non-OLM	-1
Som71	non-OLM	-1
Som72	non-OLM	-1
Som73	non-OLM	-1
Som74	non-OLM	-1
Som79	non-OLM	-1
Som80	non-OLM	-1
Som81	non-OLM	-1
Som82	non-OLM	-1
Som87	non-OLM	-1
Som88	non-OLM	-1
Som89	non-OLM	-1
Som90	non-OLM	-1
Som103	non-OLM	-1
Som105	SST-OLM	22
Som109	SST-OLM	22
Som111	non-OLM	-1
Som115	SST-OLM	23
Som116	SST-OLM	23
Som123	non-OLM	-1
Som124	SST-OLM	23
Som126	SST-OLM	24
Som127	SST-OLM	24
Som128	SST-OLM	24
Som131	SST-OLM	24
Som133	non-OLM	-1
Som134	SST-OLM	24
Som137	SST-OLM	24
Som138	SST-OLM	24
